treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "ARP_BurrosClub"
new subtable "-1"
object category "I_ARP_FTJ_Brute_Burro_Club",1,0,0,0,0,0,0,0
new treasuretable "ARP_Chastity"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_Chastity",1,0,0,0,0,0,0,0
new treasuretable "ARP_CommanderOfTheTides"
new subtable "-1"
object category "I_ARP_WPN_RC_UNIQUE_SourceStaff",1,0,0,0,0,0,0,0
new treasuretable "ARP_DarlingBow"
new subtable "-1"
object category "I_ARP_FTJ_BuriedTreasure_Bow",1,0,0,0,0,0,0,0
new treasuretable "ARP_DecomposingPyromancersBelt"
new subtable "-1"
object category "I_ARP_FTJ_SwampBuildup_A_Undead_Belt",1,0,0,0,0,0,0,0
new treasuretable "ARP_GawinsRobe"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_AirRobe",1,0,0,0,0,0,0,0
new treasuretable "ARP_GriffsPotatoPeeler"
new subtable "-1"
object category "I_ARP_WPN_FTJ_UNIQUE_GriffsKitchenKnife",1,0,0,0,0,0,0,0
new treasuretable "ARP_HallornsBlade"
new subtable "-1"
object category "I_ARP_WPN_FTJ_UNQIUE_HallornsBlade",1,0,0,0,0,0,0,0
new treasuretable "ARP_HandsOfTheTyrant"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_BraccusArmor_Arms",1,0,0,0,0,0,0,0
new treasuretable "ARP_HeartOfTheTyrant"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_BraccusArmor_UpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_HildursPlate"
new subtable "-1"
object category "I_ARP_ARM_UNIQUE_Hildurs_Plate_UpperBody",1,0,0,0,0,0,0,0
new treasuretable "ARP_HolindsBow"
new subtable "-1"
object category "I_ARP_FTJ_Magister_Hollind_Bow",1,0,0,0,0,0,0,0
new treasuretable "ARP_HoundmastersCrossbow"
new subtable "-1"
